Iterations,NAG,NAGG
161,-218.391710525,-187.812130945
162,-218.32818794,-187.81918133
163,-218.265098184,-187.826195358
164,-218.202435863,-187.833149524
165,-218.140195694,-187.840021379
166,-218.078372504,-187.846789536
167,-218.016961223,-187.853433672
168,-217.955956883,-187.859934545
169,-217.895354614,-187.866274008
170,-217.835149644,-187.872435033
171,-217.775337293,-187.87840172
172,-217.715912972,-187.884159325
173,-217.65687218,-187.889694268
174,-217.5982105,-187.894994141
175,-217.5399236,-187.90004772
176,-217.482007229,-187.904844954
177,-217.424457212,-187.909376965
178,-217.367269453,-187.913636023
179,-217.310439929,-187.917615532
180,-217.253964687,-187.921309993
181,-217.197839848,-187.924714975
182,-217.142061596,-187.927827067
183,-217.086626186,-187.930643841
184,-217.031529934,-187.933163795
185,-216.976769219,-187.935386305
186,-216.922340481,-187.937311573
187,-216.868240218,-187.938940571
188,-216.814464989,-187.94027499
189,-216.761011403,-187.941317184
190,-216.707876128,-187.942070125
191,-216.655055882,-187.942537349
192,-216.602547437,-187.942722915
193,-216.550347611,-187.942631363
194,-216.498453276,-187.942267672
195,-216.446861346,-187.941637227
196,-216.395568784,-187.940745786
197,-216.344572598,-187.939599453
198,-216.293869839,-187.938204652
199,-216.243457602,-187.936568104
200,-216.193333021,-187.93469681
201,-216.143493273,-187.932598031
202,-216.093935574,-187.930279275
203,-216.044657179,-187.927748288
204,-215.995655379,-187.925013036
205,-215.946927504,-187.922081704
206,-215.898470919,-187.91896268
207,-215.850283025,-187.915664554
208,-215.802361256,-187.912196103
209,-215.754703082,-187.908566292
210,-215.707306003,-187.904784258
211,-215.660167553,-187.900859305
212,-215.613285299,-187.896800892
213,-215.566656836,-187.892618623
214,-215.52027979,-187.88832223
215,-215.47415182,-187.883921558
216,-215.42827061,-187.879426549
217,-215.382633875,-187.874847216
218,-215.337239357,-187.870193626
219,-215.292084827,-187.86547587
220,-215.24716808,-187.860704039
221,-215.202486942,-187.855888191
222,-215.158039262,-187.851038325
223,-215.113822915,-187.846164345
224,-215.069835802,-187.841276034
225,-215.026075849,-187.836383015
226,-214.982541006,-187.831494726
227,-214.939229247,-187.826620388
228,-214.89613857,-187.82176898
229,-214.853266996,-187.816949206
230,-214.810612568,-187.812169483
231,-214.768173354,-187.807437914
232,-214.725947441,-187.802762273
233,-214.683932941,-187.798149994
234,-214.642127985,-187.793608162
235,-214.600530728,-187.789143504
236,-214.559139342,-187.784762389
237,-214.517952023,-187.780470828
238,-214.476966986,-187.776274474
239,-214.436182467,-187.77217863
240,-214.395596719,-187.768188252
241,-214.355208018,-187.764307958
242,-214.315014657,-187.760542033
243,-214.275014948,-187.756894442
244,-214.235207222,-187.753368832
245,-214.195589829,-187.749968541
246,-214.156161137,-187.746696604
247,-214.11691953,-187.743555758
248,-214.077863411,-187.740548444
249,-214.038991201,-187.737676814
250,-214.000301338,-187.734942725
251,-213.961792276,-187.732347746
252,-213.923462485,-187.729893154
253,-213.885310454,-187.727579933
254,-213.847334687,-187.725408776
255,-213.809533702,-187.723380081
256,-213.771906037,-187.721493949
257,-213.734450241,-187.719750186
258,-213.697164882,-187.718148304
259,-213.660048541,-187.716687521
260,-213.623099816,-187.715366764
261,-213.586317318,-187.714184671
262,-213.549699673,-187.713139601
263,-213.513245522,-187.712229637
264,-213.476953521,-187.711452594
265,-213.440822337,-187.71080603
266,-213.404850655,-187.710287256
267,-213.36903717,-187.709893344
268,-213.333380593,-187.709621145
269,-213.297879649,-187.709467296
270,-213.262533073,-187.709428237
271,-213.227339617,-187.709500225
272,-213.192298042,-187.709679346
273,-213.157407125,-187.709961531
274,-213.122665655,-187.710342568
275,-213.088072431,-187.710818119
276,-213.053626269,-187.711383735
277,-213.019325993,-187.712034863
278,-212.98517044,-187.71276687
279,-212.951158461,-187.713575048
280,-212.917288917,-187.71445463
281,-212.883560681,-187.715400804
282,-212.849972638,-187.716408722
283,-212.816523685,-187.717473517
284,-212.783212727,-187.718590309
285,-212.750038686,-187.719754217
286,-212.717000489,-187.720960373
287,-212.684097079,-187.72220393
288,-212.651327406,-187.723480068
289,-212.618690434,-187.724784008
290,-212.586185136,-187.726111021
291,-212.553810494,-187.727456428
292,-212.521565504,-187.728815619
293,-212.489449171,-187.730184052
294,-212.457460507,-187.731557262
295,-212.42559854,-187.732930871
296,-212.393862303,-187.734300591
297,-212.362250842,-187.73566223
298,-212.33076321,-187.737011703
299,-212.299398474,-187.738345033
