Iterations,Adagrad,AdagradG
136,-329.948288646,-311.361710169
137,-329.865276499,-311.348404023
138,-329.783260814,-311.335201563
139,-329.702224435,-311.322101923
140,-329.622150579,-311.309104246
141,-329.543022828,-311.296207686
142,-329.464825116,-311.283411406
143,-329.387541723,-311.27071458
144,-329.311157263,-311.258116387
145,-329.235656679,-311.245616019
146,-329.16102523,-311.233212674
147,-329.087248489,-311.220905559
148,-329.014312327,-311.208693891
149,-328.942202913,-311.196576892
150,-328.870906702,-311.184553795
151,-328.800410431,-311.172623838
152,-328.730701109,-311.160786268
153,-328.661766011,-311.149040341
154,-328.593592672,-311.137385317
155,-328.526168883,-311.125820465
156,-328.459482678,-311.114345062
157,-328.393522337,-311.10295839
158,-328.328276372,-311.091659738
159,-328.263733527,-311.080448404
160,-328.199882769,-311.069323689
161,-328.136713285,-311.058284904
162,-328.074214474,-311.047331364
163,-328.012375947,-311.03646239
164,-327.951187517,-311.025677312
165,-327.890639194,-311.014975463
166,-327.830721186,-311.004356183
167,-327.771423889,-310.993818818
168,-327.712737885,-310.983362721
169,-327.654653937,-310.972987249
170,-327.597162985,-310.962691765
171,-327.540256143,-310.952475638
172,-327.483924692,-310.942338242
173,-327.42816008,-310.932278957
174,-327.372953917,-310.922297168
175,-327.318297969,-310.912392266
176,-327.264184158,-310.902563646
177,-327.210604556,-310.892810708
178,-327.157551383,-310.883132859
179,-327.105017003,-310.873529509
180,-327.052993921,-310.864000074
181,-327.001474781,-310.854543975
182,-326.95045236,-310.845160638
183,-326.89991957,-310.835849492
184,-326.84986945,-310.826609974
185,-326.800295165,-310.817441522
186,-326.751190004,-310.808343581
187,-326.702547379,-310.799315601
188,-326.654360818,-310.790357034
189,-326.606623966,-310.78146734
190,-326.55933058,-310.772645979
191,-326.51247453,-310.763892421
192,-326.466049793,-310.755206134
193,-326.420050453,-310.746586596
194,-326.374470699,-310.738033287
195,-326.329304819,-310.729545689
196,-326.284547204,-310.721123292
197,-326.24019234,-310.712765587
198,-326.196234812,-310.704472072
199,-326.152669295,-310.696242248
200,-326.109490559,-310.688075617
201,-326.066693461,-310.67997169
202,-326.024272948,-310.671929978
203,-325.982224052,-310.663949999
204,-325.94054189,-310.656031272
205,-325.899221663,-310.648173322
206,-325.858258651,-310.640375677
207,-325.817648214,-310.632637868
208,-325.77738579,-310.62495943
209,-325.737466895,-310.617339904
210,-325.697887116,-310.609778832
211,-325.658642116,-310.60227576
212,-325.61972763,-310.594830239
213,-325.581139462,-310.587441822
214,-325.542873486,-310.580110066
215,-325.504925642,-310.572834533
216,-325.467291938,-310.565614786
217,-325.429968446,-310.558450393
218,-325.392951304,-310.551340925
219,-325.356236708,-310.544285957
220,-325.31982092,-310.537285066
221,-325.283700258,-310.530337833
222,-325.247871102,-310.523443844
223,-325.212329888,-310.516602686
224,-325.17707311,-310.509813949
225,-325.142097317,-310.503077228
226,-325.107399111,-310.496392121
227,-325.07297515,-310.489758228
228,-325.038822143,-310.483175153
229,-325.00493685,-310.476642502
230,-324.971316083,-310.470159886
231,-324.937956703,-310.463726918
232,-324.904855618,-310.457343213
233,-324.872009787,-310.451008391
234,-324.839416212,-310.444722074
235,-324.807071945,-310.438483887
236,-324.774974078,-310.432293457
237,-324.743119753,-310.426150416
238,-324.711506151,-310.420054397
239,-324.680130498,-310.414005038
240,-324.64899006,-310.408001977
241,-324.618082145,-310.402044856
242,-324.587404103,-310.396133322
243,-324.556953321,-310.390267022
244,-324.526727226,-310.384445606
245,-324.496723283,-310.378668728
246,-324.466938995,-310.372936043
247,-324.4373719,-310.367247212
248,-324.408019575,-310.361601895
249,-324.378879631,-310.355999756
250,-324.349949713,-310.350440462
251,-324.321227502,-310.344923682
252,-324.292710711,-310.339449088
253,-324.264397087,-310.334016356
254,-324.236284408,-310.32862516
255,-324.208370488,-310.323275182
256,-324.180653167,-310.317966104
257,-324.153130318,-310.312697609
258,-324.125799847,-310.307469384
259,-324.098659684,-310.30228112
260,-324.071707794,-310.297132508
261,-324.044942166,-310.292023242
262,-324.01836082,-310.286953019
263,-323.991961804,-310.281921538
264,-323.96574319,-310.2769285
265,-323.939703081,-310.271973608
266,-323.913839602,-310.26705657
267,-323.888150908,-310.262177092
268,-323.862635177,-310.257334887
269,-323.837290613,-310.252529665
270,-323.812115442,-310.247761143
271,-323.787107919,-310.243029038
272,-323.762266318,-310.238333069
273,-323.737588939,-310.233672957
274,-323.713074104,-310.229048427
275,-323.688720159,-310.224459205
276,-323.664525469,-310.219905018
277,-323.640488425,-310.215385597
