Iterations,Adagrad,AdagradG
79,-1035.47901429,-1195.05543846
80,-1035.24299184,-1230.22830789
81,-1035.01025111,-1187.07210003
82,-1034.78071062,-1221.20981058
83,-1034.55429165,-1179.40632461
84,-1034.33091813,-1212.52265941
85,-1034.11051648,-1172.03964639
86,-1033.89301558,-1204.15066932
87,-1033.6783466,-1164.9550397
88,-1033.46644297,-1196.078667
89,-1033.25724021,-1158.13677498
90,-1033.05067592,-1188.2924055
91,-1032.84668964,-1151.57029377
92,-1032.64522283,-1180.77849078
93,-1032.44621873,-1145.24209941
94,-1032.24962234,-1173.52431738
95,-1032.05538032,-1139.13966075
96,-1031.86344096,-1166.51801149
97,-1031.67375408,-1133.25132682
98,-1031.48627101,-1159.7483798
99,-1031.30094449,-1127.56625097
100,-1031.11772866,-1153.20486328
101,-1030.93657897,-1122.07432286
102,-1030.75745218,-1146.87749502
103,-1030.58030627,-1116.76610756
104,-1030.40510041,-1140.75686154
105,-1030.2317949,-1111.63279056
106,-1030.06035119,-1134.83406715
107,-1029.89073176,-1106.66612816
108,-1029.72290013,-1129.10070099
109,-1029.55682084,-1101.85840252
110,-1029.39245935,-1123.54880636
111,-1029.22978207,-1097.20238078
112,-1029.06875632,-1118.17085233
113,-1028.90935026,-1092.69127792
114,-1028.7515329,-1112.95970719
115,-1028.59527406,-1088.31872292
116,-1028.44054434,-1107.90861373
117,-1028.28731511,-1084.07872776
118,-1028.13555844,-1103.01116617
119,-1027.98524716,-1079.96565915
120,-1027.83635473,-1098.26128859
121,-1027.68885532,-1075.97421263
122,-1027.54272372,-1093.6532148
123,-1027.39793534,-1072.09938881
124,-1027.25446622,-1089.18146945
125,-1027.11229296,-1068.33647152
126,-1026.97139273,-1084.84085049
127,-1026.83174326,-1064.68100781
128,-1026.69332281,-1080.62641268
129,-1026.55611016,-1061.1287895
130,-1026.42008457,-1076.53345214
131,-1026.28522581,-1057.67583619
132,-1026.15151413,-1072.55749205
133,-1026.01893021,-1054.31837968
134,-1025.88745519,-1068.6942691
135,-1025.75707064,-1051.05284953
136,-1025.62775856,-1064.93972096
137,-1025.49950133,-1047.87585975
138,-1025.37228176,-1061.28997446
