Iterations,NAG,NAGG
250,-315.591399324,-309.624745661
251,-315.581656607,-309.624804129
252,-315.5719355,-309.624857193
253,-315.562235941,-309.624904172
254,-315.552557866,-309.624944475
255,-315.542901217,-309.624977612
256,-315.533265936,-309.625003195
257,-315.523651966,-309.625020948
258,-315.514059252,-309.625030706
259,-315.50448774,-309.62503242
260,-315.494937379,-309.62502615
261,-315.485408116,-309.625012069
262,-315.475899901,-309.624990453
263,-315.466412685,-309.62496168
264,-315.456946418,-309.624926215
265,-315.447501051,-309.624884609
266,-315.438076535,-309.62483748
267,-315.428672821,-309.62478551
268,-315.41928986,-309.624729424
269,-315.409927604,-309.624669985
270,-315.400586002,-309.624607978
271,-315.391265004,-309.624544198
272,-315.381964558,-309.624479437
273,-315.372684613,-309.624414475
274,-315.363425115,-309.624350068
275,-315.35418601,-309.624286936
276,-315.344967242,-309.624225761
277,-315.335768754,-309.624167173
278,-315.326590487,-309.624111746
279,-315.317432381,-309.624059995
280,-315.308294375,-309.624012369
281,-315.299176403,-309.623969253
282,-315.290078402,-309.623930961
283,-315.281000302,-309.623897738
284,-315.271942036,-309.623869762
285,-315.262903532,-309.623847142
286,-315.253884716,-309.62382992
287,-315.244885514,-309.623818077
288,-315.235905848,-309.623811531
289,-315.22694564,-309.623810142
290,-315.218004808,-309.623813718
291,-315.20908327,-309.623822014
292,-315.200180941,-309.623834741
293,-315.191297734,-309.623851565
294,-315.182433561,-309.623872117
295,-315.173588333,-309.623895994
296,-315.164761958,-309.623922765
297,-315.155954343,-309.623951976
298,-315.147165393,-309.623983153
299,-315.138395013,-309.624015814
