Iterations,NAG,NAGG
94,-7083.70336394,-4760.00444302
95,-7076.13015924,-4755.03857226
96,-7068.60836669,-4750.30758597
97,-7061.137431,-4745.80315402
98,-7053.71682173,-4741.51678694
99,-7046.34603139,-4737.43993575
100,-7039.02457364,-4733.56408548
101,-7031.75198152,-4729.88084013
102,-7024.52780564,-4726.38199788
103,-7017.35161254,-4723.05961519
104,-7010.22298306,-4719.90605934
105,-7003.14151082,-4716.91404911
106,-6996.10680073,-4714.07668365
107,-6989.11846773,-4711.3874601
108,-6982.17613551,-4708.84028047
109,-6975.27943537,-4706.42944875
110,-6968.42800524,-4704.14965934
111,-6961.62148875,-4701.99597792
112,-6954.85953441,-4699.96381599
113,-6948.14179494,-4698.04890047
114,-6941.46792662,-4696.24723964
115,-6934.83758881,-4694.55508656
116,-6928.25044354,-4692.96890146
117,-6921.70615511,-4691.48531395
118,-6915.20438992,-4690.10108631
119,-6908.74481617,-4688.81307867
120,-6902.32710384,-4687.61821694
121,-6895.95092452,-4686.51346402
122,-6889.61595146,-4685.49579506
123,-6883.32185955,-4684.56217685
124,-6877.06832538,-4683.70955174
125,-6870.85502736,-4682.93482621
126,-6864.6816458,-4682.23486388
127,-6858.54786304,-4681.60648299
128,-6852.45336364,-4681.046458
129,-6846.39783447,-4680.55152496
130,-6840.38096495,-4680.11839014
131,-6834.40244714,-4679.74374164
132,-6828.46197594,-4679.42426318
133,-6822.55924922,-4679.15664963
134,-6816.693968,-4678.93762371
135,-6810.86583655,-4678.76395327
136,-6805.07456252,-4678.63246849
137,-6799.31985708,-4678.54007866
138,-6793.60143495,-4678.48378789
139,-6787.91901453,-4678.46070948
140,-6782.27231795,-4678.46807846
141,-6776.66107109,-4678.50326211
142,-6771.08500364,-4678.56376824
143,-6765.54384907,-4678.64725106
144,-6760.03734466,-4678.75151463
145,-6754.56523146,-4678.87451385
146,-6749.12725423,-4679.01435318
147,-6743.72316145,-4679.16928307
148,-6738.35270518,-4679.33769449
149,-6733.01564107,-4679.51811163
150,-6727.71172817,-4679.70918311
151,-6722.44072893,-4679.90967211
152,-6717.20240904,-4680.1184455
153,-6711.99653735,-4680.33446251
154,-6706.82288572,-4680.5567631
155,-6701.68122891,-4680.78445643
156,-6696.5713445,-4681.01670967
157,-6691.49301269,-4681.25273734
158,-6686.44601623,-4681.49179156
159,-6681.43014027,-4681.73315315
160,-6676.44517222,-4681.97612404
161,-6671.49090167,-4682.22002075
162,-6666.56712022,-4682.46416928
163,-6661.67362139,-4682.7079013
164,-6656.8102005,-4682.95055167
165,-6651.97665456,-4683.19145718
166,-6647.17278217,-4683.42995654
167,-6642.39838342,-4683.66539145
168,-6637.65325978,-4683.89710862
169,-6632.93721406,-4684.12446262
170,-6628.25005028,-4684.34681938
171,-6623.59157363,-4684.56356025
172,-6618.96159039,-4684.7740863
173,-6614.35990788,-4684.97782289
174,-6609.78633439,-4685.17422418
175,-6605.24067918,-4685.36277752
176,-6600.72275237,-4685.54300759
177,-6596.23236495,-4685.71448011
178,-6591.76932877,-4685.87680505
179,-6587.33345646,-4686.02963923
180,-6582.92456149,-4686.17268831
181,-6578.54245807,-4686.30570801
182,-6574.18696123,-4686.42850468
183,-6569.85788675,-4686.54093507
184,-6565.5550512,-4686.64290541
185,-6561.27827195,-4686.7343698
186,-6557.02736713,-4686.81532802
187,-6552.8021557,-4686.88582267
188,-6548.60245742,-4686.94593589
189,-6544.42809292,-4686.9957857
190,-6540.27888364,-4687.03552193
191,-6536.15465191,-4687.065322
192,-6532.05522097,-4687.08538662
193,-6527.98041494,-4687.09593536
194,-6523.9300589,-4687.09720241
195,-6519.90397889,-4687.08943243
196,-6515.90200191,-4687.07287672
197,-6511.92395598,-4687.04778961
198,-6507.96967014,-4687.01442533
199,-6504.03897446,-4686.97303529
200,-6500.1317001,-4686.92386577
201,-6496.24767927,-4686.86715619
202,-6492.3867453,-4686.80313787
203,-6488.54873264,-4686.73203318
204,-6484.73347685,-4686.65405537
205,-6480.94081466,-4686.56940869
206,-6477.17058393,-4686.47828905
207,-6473.42262371,-4686.38088494
208,-6469.69677419,-4686.27737881
209,-6465.99287678,-4686.16794858
210,-6462.31077405,-4686.05276943
211,-6458.65030977,-4685.93201565
212,-6455.0113289,-4685.80586263
213,-6451.39367758,-4685.67448874
214,-6447.79720316,-4685.53807722
215,-6444.22175416,-4685.3968179
216,-6440.66718029,-4685.2509087
217,-6437.13333244,-4685.10055698
218,-6433.62006267,-4684.94598055
219,-6430.12722421,-4684.78740839
220,-6426.65467141,-4684.62508106
221,-6423.20225982,-4684.4592508
222,-6419.76984607,-4684.29018124
223,-6416.35728794,-4684.11814685
224,-6412.96444432,-4683.94343209
225,-6409.59117517,-4683.7663302
226,-6406.23734156,-4683.58714183
227,-6402.90280562,-4683.40617344
228,-6399.58743051,-4683.22373553
229,-6396.29108047,-4683.04014071
230,-6393.01362073,-4682.85570183
231,-6389.75491753,-4682.67072991
232,-6386.51483813,-4682.48553224
233,-6383.29325075,-4682.3004105
234,-6380.09002457,-4682.11565897
235,-6376.90502972,-4681.93156291
236,-6373.73813728,-4681.74839716
237,-6370.58921925,-4681.56642486
238,-6367.45814851,-4681.38589649
239,-6364.34479887,-4681.2070491
240,-6361.24904499,-4681.03010577
241,-6358.17076244,-4680.8552754
242,-6355.1098276,-4680.6827526
243,-6352.06611773,-4680.51271795
244,-6349.03951092,-4680.34533838
245,-6346.02988608,-4680.18076773
246,-6343.03712294,-4680.01914753
247,-6340.06110203,-4679.8606078
248,-6337.1017047,-4679.70526807
249,-6334.15881307,-4679.55323834
250,-6331.23231005,-4679.40462014
251,-6328.32207935,-4679.25950753
252,-6325.42800542,-4679.11798811
253,-6322.5499735,-4678.98014394
254,-6319.68786958,-4678.84605231
255,-6316.84158042,-4678.7157865
256,-6314.01099352,-4678.58941634
257,-6311.19599715,-4678.46700861
258,-6308.3964803,-4678.34862731
259,-6305.61233274,-4678.23433381
260,-6302.84344495,-4678.12418676
261,-6300.08970818,-4678.01824194
262,-6297.35101439,-4677.91655189
263,-6294.62725632,-4677.81916549
264,-6291.9183274,-4677.72612738
265,-6289.22412183,-4677.63747733
266,-6286.54453453,-4677.55324957
267,-6283.87946118,-4677.47347198
268,-6281.22879816,-4677.39816542
269,-6278.5924426,-4677.32734296
270,-6275.97029239,-4677.2610092
271,-6273.36224612,-4677.19915964
272,-6270.76820313,-4677.14178015
273,-6268.1880635,-4677.08884651
274,-6265.62172803,-4677.04032408
275,-6263.06909826,-4676.99616765
276,-6260.53007647,-4676.95632132
277,-6258.00456568,-4676.92071862
